,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
78,2004,Bundesliga,Hertha BSC,30,26.7,14,€2.39m,€71.78m,[]
79,2004,Bundesliga,Hamburger SV,31,25.4,16,€2.12m,€65.60m,[]
80,2004,Bundesliga,VfL Wolfsburg,28,27.8,18,€2.12m,€59.30m,[]
81,2004,Bundesliga,Borussia Mönchengladbach,37,27.7,19,€1.38m,€50.93m,[]
82,2004,Bundesliga,Hannover 96,35,26.6,23,€1.23m,€42.98m,[]
83,2004,Bundesliga,1.FC Nuremberg,29,26.2,12,€1.20m,€34.90m,['German 2. Bundesliga Champion 03/04']
84,2004,Bundesliga,1.FC Kaiserslautern,32,27.1,14,€1.05m,€33.75m,[]
85,2004,Bundesliga,VfL Bochum,33,26.8,22,€952k,€31.40m,[]
86,2004,Bundesliga,FC Hansa Rostock,28,28.0,14,€925k,€25.90m,[]
87,2004,Bundesliga,Arminia Bielefeld,35,26.5,17,€704k,€24.65m,[]
88,2004,Bundesliga,SC Freiburg,32,26.3,19,€701k,€22.43m,[]
89,2004,Bundesliga,1.FSV Mainz 05,32,28.1,7,€523k,€16.73m,[]
90,2005,Bundesliga,Bayern Munich,28,28.3,14,€6.35m,€177.88m,"['German Cup winner  04/05', 'German Champion 04/05']"
91,2005,Bundesliga,SV Werder Bremen,28,25.7,13,€3.99m,€111.60m,[]
92,2005,Bundesliga,Hamburger SV,35,25.1,17,€3.05m,€106.90m,[]
93,2005,Bundesliga,FC Schalke 04,32,25.8,15,€2.72m,€87.18m,[]
94,2005,Bundesliga,Bayer 04 Leverkusen,33,24.9,15,€2.46m,€81.23m,[]
95,2005,Bundesliga,Borussia Dortmund,35,24.0,14,€2.24m,€78.53m,[]
96,2005,Bundesliga,Hertha BSC,31,26.3,20,€2.35m,€72.70m,[]
97,2005,Bundesliga,VfB Stuttgart,33,26.5,13,€2.12m,€69.80m,[]
98,2005,Bundesliga,VfL Wolfsburg,32,28.0,22,€1.92m,€61.38m,[]
99,2005,Bundesliga,1.FC Nuremberg,32,25.7,16,€1.63m,€52.13m,[]
100,2005,Bundesliga,Borussia Mönchengladbach,34,27.5,21,€1.47m,€49.90m,[]
101,2005,Bundesliga,Hannover 96,33,26.1,13,€1.37m,€45.35m,[]
102,2005,Bundesliga,1.FC Köln,37,27.0,16,€1.18m,€43.63m,['German 2. Bundesliga Champion 04/05']
103,2005,Bundesliga,Eintracht Frankfurt,32,26.7,13,€1.25m,€39.95m,[]
104,2005,Bundesliga,1.FSV Mainz 05,31,26.5,9,€1.22m,€37.75m,[]
105,2005,Bundesliga,1.FC Kaiserslautern,35,27.1,15,€1.07m,€37.38m,[]
106,2005,Bundesliga,Arminia Bielefeld,33,26.8,15,€995k,€32.85m,[]
107,2005,Bundesliga,MSV Duisburg,31,28.1,11,€780k,€24.18m,[]
108,2006,Bundesliga,Bayern Munich,30,27.0,16,€6.02m,€180.73m,"['German Cup winner  05/06', 'German Champion 05/06']"
109,2006,Bundesliga,SV Werder Bremen,33,25.4,14,€4.77m,€157.25m,[]
110,2006,Bundesliga,FC Schalke 04,30,25.2,14,€3.55m,€106.60m,[]
111,2006,Bundesliga,Hamburger SV,36,25.4,19,€2.83m,€101.83m,[]
112,2006,Bundesliga,VfB Stuttgart,32,25.8,11,€3.03m,€97.08m,[]
113,2006,Bundesliga,Borussia Dortmund,32,24.5,14,€2.49m,€79.78m,[]
114,2006,Bundesliga,Bayer 04 Leverkusen,28,25.6,14,€2.65m,€74.08m,[]
115,2006,Bundesliga,Hertha BSC,32,26.1,19,€2.29m,€73.40m,[]
116,2006,Bundesliga,1.FC Nuremberg,31,26.0,20,€2.11m,€65.45m,[]
117,2006,Bundesliga,VfL Wolfsburg,30,27.4,21,€1.86m,€55.90m,[]
118,2006,Bundesliga,Eintracht Frankfurt,30,26.1,12,€1.77m,€52.95m,[]
119,2006,Bundesliga,Borussia Mönchengladbach,36,25.1,18,€1.27m,€45.85m,[]
120,2006,Bundesliga,Hannover 96,32,26.5,15,€1.43m,€45.85m,[]
121,2006,Bundesliga,VfL Bochum,32,27.7,15,€1.28m,€41.00m,['German 2. Bundesliga Champion 05/06']
122,2006,Bundesliga,1.FSV Mainz 05,34,26.1,15,€1.06m,€36.03m,[]
123,2006,Bundesliga,Arminia Bielefeld,30,27.0,12,€1.19m,€35.60m,[]
124,2006,Bundesliga,Alemannia Aachen,31,26.2,9,€860k,€26.68m,[]
125,2006,Bundesliga,FC Energie Cottbus,30,27.0,18,€885k,€26.55m,[]
126,2007,Bundesliga,Bayern Munich,31,26.3,14,€8.04m,€249.20m,[]
127,2007,Bundesliga,SV Werder Bremen,37,24.7,17,€4.31m,€159.55m,[]
128,2007,Bundesliga,FC Schalke 04,34,26.5,19,€3.70m,€125.85m,[]
129,2007,Bundesliga,Hamburger SV,36,24.6,24,€3.35m,€120.75m,[]
130,2007,Bundesliga,VfB Stuttgart,35,25.4,17,€3.11m,€108.85m,['German Champion 06/07']
131,2007,Bundesliga,Bayer 04 Leverkusen,31,24.7,12,€2.90m,€90.05m,[]
132,2007,Bundesliga,Hertha BSC,36,24.9,22,€2.25m,€81.00m,[]
133,2007,Bundesliga,Borussia Dortmund,34,26.0,17,€2.35m,€79.80m,[]
134,2007,Bundesliga,VfL Wolfsburg,39,26.1,25,€2.03m,€79.00m,[]
135,2007,Bundesliga,Eintracht Frankfurt,34,25.6,17,€1.99m,€67.80m,[]
136,2007,Bundesliga,Hannover 96,31,28.0,15,€1.94m,€60.20m,[]
137,2007,Bundesliga,1.FC Nuremberg,33,26.3,21,€1.74m,€57.45m,['German Cup winner  06/07']
138,2007,Bundesliga,VfL Bochum,33,26.4,17,€1.27m,€41.95m,[]
139,2007,Bundesliga,Karlsruher SC,27,26.1,9,€1.38m,€37.35m,['German 2. Bundesliga Champion 06/07']
140,2007,Bundesliga,Arminia Bielefeld,34,26.8,11,€1.03m,€34.85m,[]
141,2007,Bundesliga,FC Energie Cottbus,39,26.6,24,€794k,€30.95m,[]
142,2007,Bundesliga,MSV Duisburg,38,26.8,22,€768k,€29.20m,[]
143,2007,Bundesliga,FC Hansa Rostock,31,27.0,12,€889k,€27.55m,[]
