,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
83,2004,LaLiga,Deportivo de La Coruña,29,28.0,8,€4.98m,€144.45m,[]
84,2004,LaLiga,Atlético de Madrid,38,26.1,11,€3.31m,€125.65m,[]
85,2004,LaLiga,Real Betis Balompié,32,26.6,8,€2.66m,€85.15m,[]
86,2004,LaLiga,Sevilla FC,31,26.0,6,€2.28m,€70.55m,[]
87,2004,LaLiga,Villarreal CF,38,24.9,10,€1.74m,€66.25m,[]
88,2004,LaLiga,Real Sociedad,32,25.6,7,€1.67m,€53.55m,[]
89,2004,LaLiga,Athletic Bilbao,32,25.8,0,€1.66m,€53.05m,[]
90,2004,LaLiga,Real Zaragoza,28,26.3,7,€1.83m,€51.13m,['Spanish Cup winner  03/04']
91,2004,LaLiga,RCD Espanyol Barcelona,29,26.1,8,€1.56m,€45.15m,[]
92,2004,LaLiga,RCD Mallorca,32,26.8,11,€1.33m,€42.65m,[]
93,2004,LaLiga,Racing Santander,34,25.0,13,€968k,€32.90m,[]
94,2004,LaLiga,Málaga CF,31,26.2,9,€1.06m,€32.85m,[]
95,2004,LaLiga,CA Osasuna,27,26.1,8,€989k,€26.70m,[]
96,2004,LaLiga,Levante UD,27,29.5,8,€898k,€24.25m,['Spanish 2nd tier champion 03/04']
97,2004,LaLiga,Albacete Balompié,38,25.9,8,€467k,€17.75m,[]
98,2004,LaLiga,Getafe CF,29,27.8,3,€478k,€13.85m,[]
99,2004,LaLiga,CD Numancia,30,27.5,7,€447k,€13.40m,[]
100,2005,LaLiga,FC Barcelona,34,25.4,16,€9.63m,€327.50m,['Spanish Champion 04/05']
101,2005,LaLiga,Real Madrid,36,25.4,13,€7.82m,€281.60m,[]
102,2005,LaLiga,Valencia CF,34,27.3,14,€6.28m,€213.55m,[]
103,2005,LaLiga,Atlético de Madrid,31,24.2,8,€4.33m,€134.15m,[]
104,2005,LaLiga,Deportivo de La Coruña,34,27.5,8,€3.94m,€133.80m,[]
105,2005,LaLiga,Sevilla FC,34,26.0,10,€2.85m,€96.85m,[]
106,2005,LaLiga,Real Betis Balompié,33,26.2,8,€2.60m,€85.95m,['Spanish Cup winner  04/05']
107,2005,LaLiga,Villarreal CF,32,25.9,13,€2.56m,€82.00m,[]
108,2005,LaLiga,Real Zaragoza,25,27.7,7,€2.66m,€66.55m,[]
109,2005,LaLiga,RCD Espanyol Barcelona,31,25.5,9,€1.90m,€58.98m,[]
110,2005,LaLiga,Real Sociedad,31,25.9,7,€1.74m,€53.83m,[]
111,2005,LaLiga,Celta de Vigo,27,26.7,13,€1.79m,€48.30m,[]
112,2005,LaLiga,Athletic Bilbao,41,25.2,1,€1.15m,€47.23m,[]
113,2005,LaLiga,RCD Mallorca,31,26.1,15,€1.36m,€42.15m,[]
114,2005,LaLiga,CA Osasuna,25,26.6,7,€1.63m,€40.70m,[]
115,2005,LaLiga,Getafe CF,26,27.4,6,€1.40m,€36.38m,[]
116,2005,LaLiga,Deportivo Alavés,31,28.2,17,€1.12m,€34.83m,[]
117,2005,LaLiga,Racing Santander,34,25.4,8,€893k,€30.35m,[]
118,2005,LaLiga,Málaga CF,33,26.0,9,€849k,€28.03m,[]
119,2005,LaLiga,Cádiz CF,28,28.8,13,€791k,€22.15m,['Spanish 2nd tier champion 04/05']
120,2006,LaLiga,Real Madrid,39,25.3,15,€9.54m,€372.20m,[]
121,2006,LaLiga,FC Barcelona,32,26.4,18,€11.45m,€366.50m,"['Champions League Winner 05/06', 'Spanish Champion 05/06']"
122,2006,LaLiga,Valencia CF,33,26.5,9,€7.05m,€232.70m,[]
123,2006,LaLiga,Atlético de Madrid,34,24.9,13,€5.12m,€174.00m,[]
124,2006,LaLiga,Sevilla FC,30,26.5,14,€4.66m,€139.80m,['UEFA Cup Winner 05/06']
125,2006,LaLiga,Real Zaragoza,26,27.1,8,€4.66m,€121.25m,[]
126,2006,LaLiga,Villarreal CF,33,27.0,16,€3.30m,€109.05m,[]
127,2006,LaLiga,Deportivo de La Coruña,33,25.3,10,€3.00m,€98.85m,[]
128,2006,LaLiga,Real Betis Balompié,34,27.1,12,€2.32m,€78.93m,[]
129,2006,LaLiga,CA Osasuna,34,25.2,7,€2.10m,€71.35m,[]
130,2006,LaLiga,RCD Espanyol Barcelona,34,25.2,9,€1.83m,€62.15m,['Spanish Cup winner  05/06']
131,2006,LaLiga,RCD Mallorca,24,27.0,11,€2.30m,€55.30m,[]
132,2006,LaLiga,Athletic Bilbao,30,26.3,1,€1.83m,€54.90m,[]
133,2006,LaLiga,Celta de Vigo,32,26.5,16,€1.71m,€54.88m,[]
134,2006,LaLiga,Levante UD,30,29.9,17,€1.79m,€53.75m,[]
135,2006,LaLiga,Racing Santander,34,25.9,7,€1.45m,€49.30m,[]
136,2006,LaLiga,Real Sociedad,32,26.6,10,€1.41m,€45.20m,[]
137,2006,LaLiga,Recreativo Huelva,28,27.1,6,€1.50m,€41.90m,['Spanish 2nd tier champion 05/06']
138,2006,LaLiga,Getafe CF,25,28.0,7,€1.60m,€40.05m,[]
139,2006,LaLiga,Gimnàstic de Tarragona,34,29.3,10,€831k,€28.25m,[]
140,2007,LaLiga,FC Barcelona,34,26.2,15,€12.17m,€413.70m,[]
141,2007,LaLiga,Real Madrid,26,26.4,17,€13.68m,€355.80m,['Spanish Champion 06/07']
142,2007,LaLiga,Valencia CF,30,26.7,10,€7.88m,€236.50m,[]
143,2007,LaLiga,Atlético de Madrid,37,25.8,16,€5.72m,€211.70m,[]
144,2007,LaLiga,Sevilla FC,35,26.3,20,€5.70m,€199.40m,"['UEFA Cup Winner 06/07', 'Spanish Cup winner  06/07']"
145,2007,LaLiga,Villarreal CF,30,26.8,15,€4.98m,€149.30m,[]
146,2007,LaLiga,RCD Espanyol Barcelona,30,26.1,10,€4.02m,€120.50m,[]
147,2007,LaLiga,Real Zaragoza,32,26.6,8,€3.75m,€119.90m,[]
148,2007,LaLiga,CA Osasuna,31,25.8,9,€2.64m,€81.90m,[]
149,2007,LaLiga,Real Betis Balompié,32,26.3,11,€2.53m,€81.10m,[]
150,2007,LaLiga,RCD Mallorca,29,26.2,12,€2.74m,€79.60m,[]
151,2007,LaLiga,Athletic Bilbao,32,26.7,1,€2.34m,€75.00m,[]
152,2007,LaLiga,Racing Santander,33,25.5,10,€2.23m,€73.70m,[]
153,2007,LaLiga,Deportivo de La Coruña,33,25.8,9,€2.18m,€72.10m,[]
154,2007,LaLiga,Getafe CF,32,26.0,9,€2.15m,€68.90m,[]
155,2007,LaLiga,UD Almería,26,26.4,9,€2.18m,€56.70m,[]
156,2007,LaLiga,Recreativo Huelva,29,27.4,12,€1.92m,€55.60m,[]
157,2007,LaLiga,Real Murcia CF,29,27.8,9,€1.73m,€50.10m,[]
158,2007,LaLiga,Real Valladolid CF,30,27.8,6,€1.59m,€47.65m,['Spanish 2nd tier champion 06/07']
159,2007,LaLiga,Levante UD,37,27.7,15,€1.12m,€41.50m,[]
160,2008,LaLiga,Real Madrid,36,26.0,20,€11.91m,€428.60m,['Spanish Champion 07/08']
161,2008,LaLiga,FC Barcelona,34,25.3,14,€12.51m,€425.40m,[]
162,2008,LaLiga,Valencia CF,35,26.7,10,€6.50m,€227.50m,['Spanish Cup winner  07/08']
163,2008,LaLiga,Atlético de Madrid,29,26.1,15,€7.63m,€221.40m,[]
164,2008,LaLiga,Sevilla FC,35,25.9,20,€5.79m,€202.70m,[]
165,2008,LaLiga,Villarreal CF,31,26.9,14,€5.48m,€170.00m,[]
166,2008,LaLiga,Real Betis Balompié,33,27.1,13,€3.60m,€118.70m,[]
167,2008,LaLiga,RCD Espanyol Barcelona,31,26.2,10,€3.07m,€95.30m,[]
168,2008,LaLiga,Racing Santander,35,25.9,10,€2.44m,€85.50m,[]
169,2008,LaLiga,UD Almería,25,26.4,10,€3.20m,€80.00m,[]
170,2008,LaLiga,Athletic Bilbao,32,26.3,1,€2.43m,€77.60m,[]
171,2008,LaLiga,Deportivo de La Coruña,34,26.4,10,€2.27m,€77.30m,[]
172,2008,LaLiga,Getafe CF,28,27.2,13,€2.66m,€74.50m,[]
173,2008,LaLiga,RCD Mallorca,27,26.3,10,€2.55m,€68.90m,[]
174,2008,LaLiga,CA Osasuna,31,26.9,10,€2.16m,€67.10m,[]
175,2008,LaLiga,Málaga CF,27,28.0,8,€2.00m,€54.00m,[]
176,2008,LaLiga,Recreativo Huelva,31,26.5,9,€1.61m,€49.90m,[]
177,2008,LaLiga,Real Valladolid CF,27,28.1,8,€1.81m,€48.80m,[]
178,2008,LaLiga,CD Numancia,32,27.3,2,€1.19m,€38.10m,['Spanish 2nd tier champion 07/08']
179,2008,LaLiga,Sporting Gijón,31,26.6,2,€1.17m,€36.30m,[]
180,2009,LaLiga,FC Barcelona,31,25.6,15,€16.63m,€515.40m,"['Spanish Cup winner  08/09', 'Spanish Champion 08/09', 'Champions League Winner 08/09']"
181,2009,LaLiga,Real Madrid,32,25.7,16,€14.12m,€451.70m,[]
182,2009,LaLiga,Valencia CF,34,26.2,10,€7.06m,€240.00m,[]
183,2009,LaLiga,Sevilla FC,36,26.0,18,€6.06m,€218.30m,[]
184,2009,LaLiga,Atlético de Madrid,37,24.6,16,€5.70m,€210.80m,[]
185,2009,LaLiga,Villarreal CF,31,27.0,13,€5.28m,€163.70m,[]
186,2009,LaLiga,Athletic Bilbao,36,25.7,1,€2.80m,€100.80m,[]
187,2009,LaLiga,Real Zaragoza,38,26.8,18,€2.30m,€87.25m,[]
188,2009,LaLiga,Getafe CF,29,26.9,9,€2.67m,€77.30m,[]
189,2009,LaLiga,Deportivo de La Coruña,31,26.4,8,€2.45m,€75.90m,[]
190,2009,LaLiga,RCD Espanyol Barcelona,34,25.2,13,€2.09m,€71.00m,[]
191,2009,LaLiga,Racing Santander,33,25.9,8,€1.98m,€65.50m,[]
192,2009,LaLiga,RCD Mallorca,28,26.9,11,€2.33m,€65.10m,[]
193,2009,LaLiga,UD Almería,25,26.9,13,€2.55m,€63.70m,[]
194,2009,LaLiga,CA Osasuna,27,27.8,7,€2.22m,€60.00m,[]
195,2009,LaLiga,Málaga CF,37,25.8,13,€1.58m,€58.60m,[]
196,2009,LaLiga,Sporting Gijón,35,25.9,3,€1.58m,€55.20m,[]
197,2009,LaLiga,Real Valladolid CF,34,25.9,8,€1.49m,€50.50m,[]
198,2009,LaLiga,CD Tenerife,24,27.4,4,€1.42m,€34.00m,[]
199,2009,LaLiga,Xerez CD,28,27.4,8,€1.16m,€32.50m,['Spanish 2nd tier champion 08/09']
200,2010,LaLiga,FC Barcelona,35,25.1,12,€17.28m,€604.70m,['Spanish Champion 09/10']
201,2010,LaLiga,Real Madrid,38,24.7,16,€13.66m,€519.00m,[]
